ID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,go_term
Vitvi18g01488,Vitvi18g01488,1918.034,2.78299,0.07386395,37.67724,0,0,GO:0005507
Vitvi03g00325,Vitvi03g00325,3865.39,5.774572,0.1327531,43.49857,0,0,GO:0003677
Vitvi14g01469,Vitvi14g01469,2508.916,-3.776343,0.1019383,-37.0454,2.13E-300,0,GO:0009507
Vitvi18g02927,Vitvi18g02927,3446.629,3.086479,0.08698985,35.48091,9.68E-276,0,GO:0005507
Vitvi14g00339,Vitvi14g00339,2011.17,2.333164,0.07065361,33.02258,3.85E-239,0,GO:0003855
Vitvi10g00020,Vitvi10g00020,6720.777,1.570769,0.05183717,30.30199,1.08E-201,0,GO:0016491
Vitvi11g01222,Vitvi11g01222,1887.374,2.385717,0.07936777,30.05901,1.66E-198,0,GO:0004185
Vitvi14g00338,Vitvi14g00338,2173.477,2.124682,0.07165777,29.65041,3.35E-193,0,GO:0003855
Vitvi11g01227,Vitvi11g01227,784.4243,3.279847,0.1143681,28.678,7.18E-181,0,GO:0004185
Vitvi13g00275,Vitvi13g00275,1033.237,-1.553867,0.05541158,-28.04229,4.96E-173,0,#N/A
Vitvi02g00605,Vitvi02g00605,7392.121,-2.065579,0.07788729,-26.5201,5.68E-155,0,GO:0000272
Vitvi03g00691,Vitvi03g00691,525.5293,2.708383,0.1103232,24.54953,4.38E-133,0,GO:0004185
Vitvi17g00342,Vitvi17g00342,164.5223,3.849379,0.1569786,24.52169,8.67E-133,0,GO:0005506
Vitvi01g01085,Vitvi01g01085,1051.030863,2.044023045,0.086874247,23.52852674,2.08E-122,0,#N/A
Vitvi07g01644,Vitvi07g01644,210.5479,3.603212,0.1537311,23.43841,1.74E-121,0,#N/A
Vitvi11g00097,VviMYBPAR,1669.429,-1.246134,0.05325829,-23.39794,4.49E-121,0,GO:0003677
Vitvi11g01224,Vitvi11g01224,400.1105,3.154676,0.1439129,21.92074,1.65E-106,0,GO:0004185
Vitvi05g00342,Vitvi05g00342,1124.727,-2.812407,0.1289375,-21.81217,1.78E-105,0,GO:0009055
Vitvi14g01684,Vitvi14g01684,5455.595,-1.377442,0.0642951,-21.42375,8.03E-102,0,GO:0005975
Vitvi06g00143,Vitvi06g00143,371.6701,3.254659,0.1546204,21.04935,2.32E-98,0,GO:0004553
Vitvi10g01384,Vitvi10g01384,2743.326,-1.503361,0.07199261,-20.88215,7.78E-97,0,#N/A
Vitvi05g00784,Vitvi05g00784,409.4061,2.308144,0.111033,20.78792,5.57E-96,0,GO:0016614
Vitvi11g00477,Vitvi11g00477,5518.905,-1.829198,0.08951823,-20.4338,8.37E-93,0,GO:0005515
